Designer,DesignerProfile,ProjectTitle,ProjectURL,Category,VisualStyle,MainDeliverables,ImageCount,ImageRatioSummary,EstimatedQuality,StorytellingQuality,ClientFit,ProposedAction,Notes
Trần Bảo,https://www.behance.net/ipad_19989bcd,ILLUSTRATION FOR HELLO STRANGER COFFEE (2019),https://www.behance.net/gallery/125534977/ILLUSTRATION-FOR-HELLO-STRANGER-COFFEE-(2019),Illustration / Branding,Artisan / Hand-drawn,Illustration / Packaging / Mural / Coffee branding,TBD,Landscape,Medium,Medium,Medium,Consider,Coffee/F&B illustration — could support brand storytelling
Duy Phong,https://www.behance.net/duyphong6,Portfolio Graphic Design,https://www.behance.net/gallery/139888111/Portfolio-Graphic-Design,Portfolio / Mixed,Varied,Portfolio collection of graphic design works,TBD,Mixed,Medium,Medium,Medium,Reject,Portfolio collection — not a single client-facing project; overlaps other works
Ploy Diep,https://www.behance.net/vylan,POSM MƠ NƯỚNG,https://www.behance.net/gallery/250872779/POSM-MO-NUNG,POSM / F&B,Vibrant / Appetizing,POSM materials / Standee / Menu / Retail displays,TBD,Portrait,Medium-High,Medium,High,Select,Strong F&B POSM — shows retail capability
Ploy Diep,https://www.behance.net/vylan,SOCIAL MEDIA MƠ NƯỚNG,https://www.behance.net/gallery/250731191/SOCIAL-MEDIA-MO-NUNG,Social Media / F&B,Vibrant / Appetizing,Social posts / Feed design / Content templates,TBD,Landscape,Medium-High,Medium,High,Select,Complements POSM project — same client shows integrated campaign
Ploy Diep,https://www.behance.net/vylan,TAKAHIRO COPORATION DESIGN,https://www.behance.net/gallery/236462703/TAKAHIRO-COPORATION-DESIGN,Branding / Corporate,Professional / Corporate,Logo / Brand identity / Corporate profile / Stationery,TBD,Landscape,Medium-High,Medium,High,Select,Corporate branding — excellent B2B client-fit
Ploy Diep,https://www.behance.net/vylan,Queen Ann Social Media,https://www.behance.net/gallery/209637853/Queen-Ann-Social-Media,Social Media / Lifestyle,Elegant / Feminine,Social posts / Feed design / Content calendar,TBD,Portrait,Medium-High,Medium,Medium,Consider,Lifestyle/social work — decent but overlaps Mơ Nướng social
Ploy Diep,https://www.behance.net/vylan,Momiji Restuarant - Social Media - POSM,https://www.behance.net/gallery/187112943/Momiji-Restuarant-Social-Media-POSM,Social Media / POSM / F&B,Japanese / Premium,Social posts / Menu / POSM / Brand materials,TBD,Landscape,Medium-High,Medium,High,Select,Integrated social + POSM for F&B — strong commercial case
Ploy Diep,https://www.behance.net/vylan,Social Media Khalil Lounge,https://www.behance.net/gallery/187478477/Social-Media-Khalil-Lounge,Social Media / F&B,Luxury / Lounge,Social posts / Feed design / Content,TBD,Landscape,Medium,Medium,Medium,Hold,Similar F&B social — choose strongest ones
Ploy Diep,https://www.behance.net/vylan,Media Post Food,https://www.behance.net/gallery/187510061/Media-Post-Food,Social Media / F&B,Varied / Appetizing,Social media posts / Food photography layouts,TBD,Landscape,Medium,Medium,Medium,Hold,Generic food social — overlaps Mơ Nướng and Momiji
Ploy Diep,https://www.behance.net/vylan,Media Post - Kim Cúc Jewelry,https://www.behance.net/gallery/187914033/Media-Post-Kim-Cuc-Jewelry,Social Media / Jewelry,Elegant / Luxury,Social posts / Jewelry layouts / Content,TBD,Portrait,Medium-High,Medium,Medium,Consider,Luxury jewelry — adds category diversity
Ploy Diep,https://www.behance.net/vylan,Social Media & POSM Công ty Nyna,https://www.behance.net/gallery/186937767/Social-Media-POSM-Cong-ty-Nyna,Social Media / POSM,Corporate / Clean,Social posts / POSM / Company profile materials,TBD,Portrait,Medium-High,Medium,High,Consider,Corporate social + POSM — strong B2B fit
Ploy Diep,https://www.behance.net/vylan,Media Post Ovvani,https://www.behance.net/gallery/187511547/Media-Post-Ovvani,Social Media / Lifestyle,Minimal / Lifestyle,Social posts / Product layouts / Content,TBD,Landscape,Medium,Medium,Medium,Hold,Similar lifestyle social — not distinctive enough
Ploy Diep,https://www.behance.net/vylan,FAMIGLIA PIZZA,https://www.behance.net/gallery/162463351/FAMIGLIA-PIZZA,Branding / F&B,Warm / Italian,Logo / Brand identity / Packaging / Menu,TBD,Landscape,Medium-High,Medium,High,Select,Strong F&B branding — distinct from other F&B projects
Ploy Diep,https://www.behance.net/vylan,Media Post - Phòng khám Dr. Lê Tiến,https://www.behance.net/gallery/187479943/Media-Post-Phong-kham-Dr-Le-Tin,Social Media / Medical,Clean / Trustworthy,Social posts / Clinic content / Medical design,TBD,Landscape,Low-Medium,Medium,Medium,Reject,Medical social — visual quality lower than others; limited commercial appeal
